# АНОН МГН — Битва мнений
# Часть 1: вопросы 001–100
# Каждый вопрос имеет ровно 2 логичных сопоставимых ответа.
# Одинаковые пары ответов не повторяются.
# Формат: ID | ВОПРОС | ВАРИАНТ_1 | ВАРИАНТ_2 | КАТЕГОРИЯ

001 | Что выберешь утром? | чай | кофе | еда
002 | Что вкуснее на перекус? | пицца | шаурма | еда
003 | Что выберешь к фильму? | попкорн | чипсы | еда
004 | Что лучше летом? | мороженое | холодный лимонад | еда
005 | Что выберешь на завтрак? | сырники | блины | еда
006 | Что вкуснее? | суши | пицца | еда
007 | Что выберешь из сладкого? | шоколад | мармелад | еда
008 | Что лучше к чаю? | печенье | вафли | еда
009 | Что выберешь вечером? | бургер | роллы | еда
010 | Что вкуснее? | арбуз | дыня | еда
011 | Что выберешь из фруктов? | яблоко | банан | еда
012 | Что лучше в холодную погоду? | какао | горячий чай | еда
013 | Что выберешь из фастфуда? | наггетсы | картошка фри | еда
014 | Что вкуснее? | пельмени | хинкали | еда
015 | Что выберешь на десерт? | чизкейк | тирамису | еда
016 | Что лучше освежает? | вода с лимоном | холодный чай | еда
017 | Что выберешь дома вечером? | лапша | пицца | еда
018 | Что вкуснее? | клубника | виноград | еда
019 | Что выберешь к кофе? | круассан | пончик | еда
020 | Что лучше на завтрак? | омлет | бутерброды | еда
021 | Где приятнее гулять в Магнитогорске? | в центре | у воды | мгн
022 | Какой Магнитогорск тебе нравится больше? | ночной | дневной | мгн
023 | Что выберешь для прогулки по МГН? | парк | центр города | мгн
024 | Что лучше вечером в Магнитогорске? | гулять | сидеть в кафе | мгн
025 | Где бы встретился с новым человеком? | в центре | в торговом центре | мгн
026 | Что тебе ближе в Магнитогорске? | Левый берег | Правый берег | мгн
027 | Как лучше провести вечер в городе? | кино | прогулка | мгн
028 | Что выберешь в выходной в МГН? | поехать в ТЦ | пойти в парк | мгн
029 | Какой сезон в Магнитогорске приятнее? | лето | зима | мгн
030 | Что лучше для встречи? | кофейня | прогулка по городу | мгн
031 | Что выберешь вечером? | кататься по городу | гулять пешком | мгн
032 | Где лучше зависнуть с друзьями? | в кафе | на улице | мгн
033 | Что красивее в городе? | закат | ночные огни | мгн
034 | Какой формат встречи лучше? | гулять вдвоём | гулять компанией | мгн
035 | Что выберешь после учёбы? | домой | прогуляться по городу | мгн
036 | Кто должен писать первым? | я | собеседник | общение
037 | Как проще знакомиться? | в переписке | вживую | общение
038 | Что лучше в разговоре? | много шуток | разговор по душам | общение
039 | Что приятнее получать? | голосовое | обычное сообщение | общение
040 | Что важнее в новом знакомстве? | юмор | искренность | общение
041 | Как лучше общаться вечером? | переписываться | созвониться | общение
042 | Что тебе ближе? | говорить много | больше слушать | общение
043 | Что важнее в собеседнике? | умение шутить | умение слушать | общение
044 | Что лучше после неловкой паузы? | пошутить | сменить тему | общение
045 | Как приятнее знакомиться? | случайно | через общих друзей | общение
046 | Что выберешь? | один близкий друг | большая компания | общение
047 | Что важнее в дружбе? | доверие | поддержка | общение
048 | Что лучше помогает сблизиться? | долгий разговор | совместная прогулка | общение
049 | Что проще? | сказать всё прямо | намекнуть | общение
050 | Какой собеседник приятнее? | спокойный | очень активный | общение
051 | Что милее? | объятия | поцелуй | отношения
052 | Что важнее в отношениях? | доверие | внимание | отношения
053 | Что лучше для первого свидания? | прогулка | кафе | отношения
054 | Что приятнее? | милое сообщение утром | долгий разговор ночью | отношения
055 | Что важнее? | общие интересы | похожий характер | отношения
056 | Что лучше? | часто видеться | часто переписываться | отношения
057 | Что тебе ближе? | спокойные отношения | много ярких эмоций | отношения
058 | Что важнее при симпатии? | юмор | забота | отношения
059 | Что приятнее получить? | комплимент | маленький сюрприз | отношения
060 | Как лучше начать отношения? | сначала дружить | сразу сказать о симпатии | отношения
061 | Что лучше? | ночь | утро | жизнь
062 | Что выберешь в свободный день? | остаться дома | пойти гулять | жизнь
063 | Что тебе ближе? | всё планировать | решать по настроению | жизнь
064 | Что приятнее? | дождь | снег | жизнь
065 | Что тебе приятнее по погоде? | жара | прохлада | жизнь
066 | Как лучше отдыхать? | в одиночестве | с друзьями | жизнь
067 | Что выберешь вечером? | фильм | игра | жизнь
068 | Что лучше помогает расслабиться? | музыка | прогулка | жизнь
069 | Что тебе ближе? | тишина | фоновая музыка | жизнь
070 | Что выберешь? | рано лечь | долго сидеть ночью | жизнь
071 | Как лучше провести выходной? | активно | ничего не делать | жизнь
072 | Что приятнее? | долгая прогулка | долгий сон | жизнь
073 | Что выберешь? | копить деньги | тратить на впечатления | жизнь
074 | Что лучше? | жить по плану | быть спонтанным | жизнь
