# АНОН МГН — Битва мнений
# Часть 5: вопросы 401–500
# Максимальный упор на любовь, симпатию, отношения, доверие, ревность, свидания и бывших.
# Есть отдельные вопросы про свидания в Магнитогорске.
# Каждый вопрос имеет 2 логичных сопоставимых варианта.
# Пары не повторяются с вопросами 001–400.
# Формат: ID | ВОПРОС | ВАРИАНТ_1 | ВАРИАНТ_2 | КАТЕГОРИЯ

401 | Что сильнее выдаёт симпатию? | часто искать взгляд | часто искать повод написать | любовь
402 | Что приятнее от человека, который нравится? | сообщение «доброе утро» | сообщение «спокойной ночи» | любовь
403 | Что важнее в начале отношений? | искренность | лёгкость в общении | любовь
404 | Что милее на прогулке? | держаться за руки | идти плечом к плечу | любовь
405 | Что приятнее услышать? | «я по тебе скучаю» | «мне тебя не хватает» | любовь
406 | Что лучше показывает заботу? | спросить, как прошёл день | заметить, что настроение изменилось | любовь
407 | Что важнее в паре? | умение доверять | умение разговаривать о проблемах | любовь
408 | Что сильнее сближает? | долгие ночные разговоры | много времени вместе | любовь
409 | Что милее? | неожиданно прислать песню | неожиданно прислать милый мем | любовь
410 | Что лучше на первом свидании? | много разговаривать | много гулять | любовь
411 | Что важнее при симпатии? | взаимность | честность | любовь
412 | Что приятнее? | когда тебя ждут | когда по тебе скучают | любовь
413 | Что лучше после неловкой паузы? | улыбнуться | пошутить | любовь
414 | Что важнее в отношениях? | уважение к личному времени | желание проводить время вместе | любовь
415 | Что сильнее цепляет? | красивая улыбка | приятный голос | любовь
416 | Что приятнее получить? | искренний комплимент | тёплое сообщение без повода | любовь
417 | Что лучше для сближения? | гулять вдвоём | созваниваться поздно вечером | любовь
418 | Что важнее при знакомстве? | чтобы было не неловко молчать | чтобы всегда было о чём говорить | любовь
419 | Что милее? | случайно встретиться взглядами | случайно коснуться руками | любовь
420 | Что лучше показывает серьёзность? | держать слово | находить время для человека | любовь
421 | Что приятнее услышать после встречи? | «мне было хорошо» | «давай увидимся ещё» | любовь
422 | Что важнее в симпатии? | чувствовать спокойствие рядом | чувствовать сильные эмоции | любовь
423 | Что лучше? | сначала долго дружить | быстро понять, что нравитесь друг другу | любовь
424 | Что милее в переписке? | милые прозвища | свои внутренние шутки | любовь
425 | Что приятнее? | когда тебя замечают в толпе | когда тебя первым ищут взглядом | любовь
426 | Что лучше на свидании? | кофейня | долгая прогулка | любовь
427 | Что важнее в паре? | одинаковые ценности | похожее чувство юмора | любовь
428 | Что сильнее показывает привязанность? | помнить мелкие детали | интересоваться твоими делами | любовь
429 | Что приятнее? | получить фото с подписью «вспомнил о тебе» | получить песню с подписью «это про нас» | любовь
430 | Что лучше в отношениях? | часто видеться | иметь много личного пространства | любовь
431 | Что важнее? | не врать | не скрывать важное | любовь
432 | Что милее? | объятие при встрече | объятие на прощание | любовь
433 | Что лучше после ссоры? | спокойно всё обсудить | сначала дать друг другу время | любовь
434 | Что приятнее от симпатии? | быстрый ответ | длинный интересный ответ | любовь
435 | Что больше похоже на настоящую заботу? | поддержать словами | помочь поступком | любовь
436 | Что сильнее сближает? | общие секреты | общие воспоминания | любовь
437 | Что важнее на старте отношений? | не строить из себя другого человека | не торопить события | любовь
438 | Что приятнее? | когда тебе звонят просто так | когда пишут просто так | любовь
439 | Что лучше? | часто говорить о чувствах | показывать чувства поступками | любовь
440 | Что важнее в отношениях? | поддерживать мечты друг друга | уважать решения друг друга | любовь
441 | Что милее? | совместное фото | ваша общая песня | любовь
442 | Что приятнее вечером? | гулять и разговаривать | сидеть рядом и смотреть фильм | любовь
443 | Что лучше помогает понять человека? | долгая переписка | личная встреча | любовь
444 | Что важнее при симпатии? | чтобы тебя принимали таким, какой ты есть | чтобы тобой искренне интересовались | любовь
445 | Что приятнее услышать? | «я верю в тебя» | «я рядом, если что» | любовь
